codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
78051;A-120/CENIPA/2018 - 01;2023-05-31;2023-05-31;NULL;Divulgar os ensinamentos colhidos nesta investigaaao a Flyer Indastria Aeronautica Ltda, a fim de que essa empresa verifique a viabilidade de inseraao da inspeaao de bancada/overhaul da bomba de combustavel no plano de manutenaao do componente, observando o estabelecido pelo fabricante.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
78033;A-119/CENIPA/2018 - 01;2021-11-16;2021-12-22;NULL;Atuar junto a empresa Boeing Company, fabricante da aeronave, a fim de verificar a eficacia das inspeaaes obrigatarias de controle de qualidade a serem aplicadas no aft trunnion pin e em peaas similares, apas o processo de retafica da camada de cromo, principalmente no que tange ao previsto no Standard Overhaul Pratices Manual, Grinding of Chrome Plated Parts 20-10-04, item 4, Quality Control.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
78031;A-117/CENIPA/2018 - 01;2020-07-24;2020-08-07;2021-03-23;Atuar junto a EJ Escola de Aeronautica Ltda. ME e ao Aeroclube de Itapolis, a fim de que o SGSO implantado naquelas instituiaaes efetivamente envolva os seus funcionarios, alunos e prestadores de serviaos na prevenaao das ocorrancias aeronauticas, salientando a importancia dos Reportes Voluntarios na promoaao de uma cultura voltada para a seguranaa de voo.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
78031;A-117/CENIPA/2018 - 02;2020-07-24;2020-08-07;2021-03-23;Atuar junto a EJ Escola de Aeronautica Ltda. ME e ao Aeroclube de Itapolis, a fim de que sejam padronizadas, por meio de acordos ou manuais conjuntos, os tipos de operaaao das aeronaves no circuito de trafego local, fazendo constar as referancias visuais para as posiaaes no circuito, as mensagens de posiaao compulsarias, os procedimentos para as emergancias, falhas de comunicaaao e mudanaa de pista, bem como os procedimentos previstos para operaaaes mistas, se for o caso.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
78031;A-117/CENIPA/2018 - 03;2020-07-24;2020-08-07;2021-03-23;Atuar junto a EJ Escola de Aeronautica Ltda. ME e ao Aeroclube de Itapolis, a fim de avaliar a efetividade dos seus Sistemas de Gerenciamento da Seguranaa Operacional, bem como do trabalho dos seus Gestores de Seguranaa Operacional, em especial quanto a gestao dos Reportes Voluntarios e a qualidade do Gerenciamento de Riscos a Seguranaa Operacional, conforme determina o capatulo 2 do modelo de MGSO determinado pela ANAC.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
78031;A-117/CENIPA/2018 - 04;2020-07-24;2020-08-07;2021-03-23;Atuar junto a EJ Escola de Aeronautica Ltda. ME e ao Aeroclube de Itapolis, a fim de que, conjuntamente, estas instituiaaes realizem uma analise de risco sobre a realizaaao de voos de instruaao com aproximaaaes de 180 e 360 graus concomitante a trafegos executando circuitos normais (perna base e reta final) e aIFR simuladosa, de maneira a facilitar a identificaaao dos perigos e a implementaaao de medidas mitigadoras adequadas.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
78031;A-117/CENIPA/2018 - 05;2020-07-24;2020-08-13;2021-01-29;Atuar junto a EJ Escola de Aeronautica Ltda. ME e ao Aeroclube de Itapolis, a fim de que, conjuntamente, estas instituiaaes realizem uma analise de risco sobre a realizaaao de voos de instruaao com aproximaaaes de 180 e 360 graus concomitante a trafegos executando circuitos normais (perna base e reta final) e aIFR simuladosa, de maneira a facilitar a identificaaao dos perigos e a implementaaao de medidas mitigadoras adequadas.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
78031;A-117/CENIPA/2018 - 06;2020-07-24;2020-08-13;2021-01-29;Atuar junto a administraaao do Aeradromo de Itapolis, a fim de que seja elaborado o pedido formal de implantaaao de uma Frequancia de Coordenaaao de Aeradromo (FCA) exclusiva.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
78018;A-115/CENIPA/2018-01;2020-04-22;2020-05-04;2020-11-20;ATUAR JUNTO AO AEROCLUBE DE BAURU, A FIM DE QUE AQUELE OPERADOR APRIMORE OS TREINAMENTOS DISPONIBILIZADOS A SEUS TRIPULANTES, SOBRETUDO NO QUE DIZ RESPEITO a PADRONIZAaaO E aS CORRETAS TaCNICAS DE INSTRUaaO, E ORIENTE OS INSTRUTORES A SEREM CONSERVATIVOS, DE MODO A EVITAR QUE OS ERROS DOS ALUNOS SE APROXIMEM DO PONTO DE IRREVERSIBILIDADE DE UM ACIDENTE.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
78018;A-115/CENIPA/2018-02;2020-04-22;2020-05-04;2020-06-12;ATUAR JUNTO AO DEPARTAMENTO AEROVIaRIO DO ESTADO DE SaO PAULO (DAESP), A FIM DE QUE AQUELE OPERADOR IMPLEMENTE MELHORIAS NA INFRAESTRUTURA DO AERaDROMO DE BAURU - AREALVA (SBAE), VISANDO EVITAR QUE AS ESTRUTURAS QUE CIRCUNDAM O CAMPO TORNEM-SE OBSTaCULOS aS AERONAVES QUE VENHAM A EXPERIMENTAR UMA EXCURSaO DE PISTA.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77995;A-111/CENIPA/2018 - 01;2021-11-16;2021-12-23;2022-01-04;Divulgar os ensinamentos colhidos na presente investigaaao, com a finalidade de alertar os operadores de aeronaves da aviaaao geral quanto aos riscos associados a execuaao da atividade aarea sem a fiel observancia das normas operacionais, em especial, no que diz respeito aos limites de peso maximo de decolagem.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77977;A-104/CENIPA/2018 - 01;2019-03-11;2019-03-21;2019-07-22;Atuar junto ? organiza??o de manutenaao Nacional manutenaao de Aeronaves Ltda., a fim de que essa institui??o demonstre que possui e aplica todos os recursos necess?rios ? adequada presta??o de serviaos de manutenaao e escritura??o das aeronaves CESSNA AIRCRAFT, modelo 172B, conforme preconiza a legisla??o em vigor, os respectivos manuais t?cnicos e a Lista de Capacidades da empresa.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77933;A-503/CENIPA/2020 - 01;2020-10-02;2020-10-19;2021-01-05;Atuar junto a empresa Dilopes Aviaaao Agracola LTDA., a fim de que aquele operador aperfeiaoe seus mecanismos de planejamento de voo e treinamento de pilotos, visando incrementar os naveis de competancia e seguranaa operacional requeridos para o desempenho de suas atividades, principalmente no que tange aos riscos decorrentes da operaaao de pista de pouso molhadas e nao pavimentadas.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77905;A-094/CENIPA/2018 - 01;2021-02-12;2021-02-27;2021-06-25;Atuar junto a empresa Amazonaves Taxi Aareo Ltda., a fim de que este operador assegure que seus tripulantes estejam recebendo treinamento adequado, bem como de que eles estejam familiarizados com os procedimentos de emergancia da aeronave C-98 Caravan, incluindo os memory items, especialmente para as situaaaes de emergancia com falha do motor em voo e pouso foraado.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77895;A-088/CENIPA/2018 -01;2019-05-16;2019-05-27;2019-06-04;Divulgar  o  conteado  deste  Relatario  Final,  a  fim  de  alertar  os  pilotos  da  Aviaaao  Geral quanto aos riscos associados a operaaao em condiaaes meteorolagicas adversas.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77893;A-089/CENIPA/2018 -01;2019-04-08;2019-04-25;2019-05-03;Divulgar  os  ensinamentos  colhidos  na  presente  investigaaao,  a  fim  de  alertar  pilotos  e operadores da aviaaao civil brasileira sobre a importancia do correto planejamento de voo, sobretudo no que diz respeito aos aspectos relacionados a performance da aeronave na decolagem e subida e a escolha da cabeceira para a operaaao.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77878;A-085/CENIPA/2018 - 01;2021-02-12;2021-02-27;2021-04-29;Atuar junto a empresa Tenoar Aviaaao Agracola Ltda., no sentido de que aquele operador oriente seus pilotos quanto ao estrito cumprimento dos procedimentos operacionais das suas aeronaves, notadamente quanto a importancia do aviso de estol ativo para a realizaaao das manobras tapicas do voo de aplicaaao de defensivos agracolas, tendo como objetivo coibir os habitos e as atitudes que possam fragilizar a seguranaa operacional.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77878;A-085/CENIPA/2018 - 02;2021-02-12;2021-02-27;2021-04-29;Atuar junto a empresa Tenoar Aviaaao Agracola Ltda., no sentido de que aquele operador assegure que seus pilotos conheaam as limitaaaes operacionais das aeronaves operadas pela empresa, particularmente no que concerne a proibiaao de manobras acrobaticas, tanto pela certificaaao da aeronave quanto pela certificaaao da empresa.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77878;A-085/CENIPA/2018 - 03;2021-02-12;2021-02-27;2021-04-29;Atuar junto a Tenoar Aviaaao Agracola Ltda., no sentido de que aquele operador aprimore seus mecanismos de supervisao gerencial destinados a identificar desvios em relaaao aos procedimentos operacionais da empresa, assim como aqueles aplicaveis a operaaao e as limitaaaes de suas aeronaves.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77878;A-085/CENIPA/2018 - 04;2021-02-12;2021-02-27;2021-03-03;Divulgar os ensinamentos colhidos na presente investigaaao, buscando alertar os pilotos que atuam na aviaaao agracola sobre os riscos decorrentes da execuaao de manobras a baixa altura, com velocidades praximas a de estol, assim como quanto a importancia de se conhecer e respeitar os limites definidos nos manuais tacnicos das aeronaves operadas.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77877;A-087/CENIPA/2018 - 01;2023-12-29;2024-01-05;NULL;Atuar junto a Helimar Helicapteros Ltda. (COM Na 8003-02/ANAC), a fim de que aquela OMdemonstre que seus mecanismos de supervisao gerencial garantam a qualidade dosserviaos executados nas aeronaves que mantam, particularmente naqueles executadosnas aeronaves 206B.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77868;A-084/CENIPA/2018 - 01;2020-05-29;2020-06-22;2020-06-30;Divulgar os ensinamentos colhidos na presente investigaaao, a fim de alertar pilotos eoperadores da aviaaao civil brasileira que operem a aeronave Robinson R22 Beta, sobre aimportancia de se manter ligado o sistema do governador de sobrevelocidade durante suaoperaaao.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77864;A-081/CENIPA/2018 - 01;2020-10-02;2021-03-04;2021-03-12;Divulgar os ensinamentos colhidos na presente investigaaao, a fim de alertar operadores e pilotos da aviaaao agracola quanto a importancia de realizar os calculos de peso e balanceamento, levando em consideraaao a relaaao entre a capacidade de peso maximo do tanque de produtos (hopper) e o peso maximo de decolagem das aeronaves.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77861;IG-075/CENIPA/2018 - 01;2020-07-24;2020-08-07;2020-08-27;Atuar junto a Vale S.A., a fim de enfatizar o previsto no Art. 88-N do Cadigo Brasileiro de Aeronautica (CBA) que a vedadaa, salvo as exceaaes estabelecidas, a remoaao de aeronaves acidentadas, ou de suas partes, do local da ocorrancia sem a devida autorizaaao da autoridade de investigaaao SIPAER.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77852;A-076/CENIPA/2018 - 01;2021-02-12;2021-04-12;2021-04-22;Divulgar os ensinamentos colhidos na presente investigaaao, com a finalidade de alertar os operadores e proprietarios de aeronaves, quanto aos riscos associados a execuaao da atividade aarea sem a fiel observancia das normas operacionais, regulamentos ou regras de trafego aareo, notadamente na operaaao sem habilitaaao para tal.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77847;A-066/CENIPA/2018-01;2020-04-22;2020-05-04;2020-08-24;ATUAR JUNTO a XINGU AERO AGRaCOLA LTDA., A FIM DE REFORaAR aQUELE OPERADOR A IMPORTaNCIA E A OBRIGATORIEDADE DO CUMPRIMENTO DO CaDIGO BRASILEIRO DE AERONaUTICA (LEI 7.565) ART. 88, SOBRETUDO NO QUE DIZ RESPEITO a COMUNICAaaO DE QUALQUER OCORRaNCIA AERONaUTICA E OS CRITaRIOS PARA REMOaaO E REPARO DE AERONAVE ACIDENTADA.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77847;A-066/CENIPA/2018-02;2020-04-22;2020-05-04;2020-05-25;DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAaaO, A FIM DE ALERTAR PILOTOS E OPERADORES DA AVIAaaO AGRaCOLA SOBRE A IMPORTaNCIA DE CONTROLAR A ADEQUADA UTILIZAaaO E SELEaaO DOS TANQUES DA AERONAVE, COM O INTUITO DE EVITAR APAGAMENTO DO MOTOR OCASIONADO POR FALTA DE COMBUSTaVEL.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77841;IG-100/CENIPA/2018 - 01;2021-09-17;2021-09-29;2021-10-08;Divulgar os ensinamentos colhidos na presente investigaaao, com a finalidade de alertar pilotos e organizaaaes de manutenaao quanto aos riscos associados a execuaao de serviaos de manutenaao que nao atendam as especificaaaes contidas nos manuais, ordens tacnicas e boletins dos fabricantes.;***;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77841;IG-100/CENIPA/2018 - 02;2021-09-17;2021-09-29;2022-05-03;Atuar junto ao operador da aeronave, a fim de que ele, como responsavel primario pela operaaao e aeronavegabilidade de suas aeronaves, aperfeiaoe seus mecanismos de supervisao gerencial, no ambito tacnico/administrativo, com o objetivo de manter atualizados os registros dos serviaos de manutenaao realizados, conforme os requisitos estabelecidos pela Autoridade de Aviaaao Civil.;***;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77840;A-074/CENIPA/2018 - 01;2018-11-07;2018-11-27;2018-12-27;Atuar junto ? Asas de Socorro, a fim de que aquela organizaaao aperfeiaae seus mecanismos administrativos e operacionais de escritura??o dos serviaos de manutenaao executados em suas aeronaves, como forma de prevenir ocorrancias aeronauticas.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77840;A-074/CENIPA/2018 - 02;2018-11-07;2018-11-27;2018-12-27;Atuar junto a Asas de Socorro, a fim de alertar aquela organizaaao sobre os riscos decorrentes da operaaao em pistas nao homologadas - ou nao registradas - pela Autoridade da aviaaao Civil, fato que fere o Art. 30 do Cadigo Brasileiro de aeronautica.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77840;A-074/CENIPA/2018 - 03;2018-11-07;2018-11-27;2018-12-27;Atuar junto ? Asas de Socorro, a fim de que o item 6.8.12 (Procedimentos de voo VFR por cima da camada) do MGO daquela organizaaao seja revisado, no intuito de torna-lo condizente com o que prev? o subitem 5.1.2-a da ICA 100-12/2016: os voos VFR somente ser?o realizados quando simultanea e continuamente o piloto puder manter referancia com o solo ou agua, de modo que as formaaaes meteorolagicas abaixo do navel de voo nao obstruam mais da metade da area de sua visao.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77840;A-074/CENIPA/2018 - 04;2018-11-07;2018-11-27;2018-12-27;Atuar junto a Asas de Socorro, a fim de que aquela organizaaao oriente os tripulantes que operam suas aeronaves a serem mais conservativos quando estiverem realizando o planeamento dos voos, sobretudo no que diz respeito a analise dos impactos causados por meteorologia adversa.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77840;A-074/CENIPA/2018 - 05;2018-11-07;2018-11-27;2018-12-27;Atuar junto a Asas de Socorro, a fim de enfatizar aquela organizaaao a importancia de se observar o previsto no Art. 88 do Cadigo Brasileiro de aeronautica que, salvo as exceaaes estabelecidas, proabe a remoaao de aeronaves acidentadas do local da ocorrancia sem a devida anuncia da autoridade de investigaaao SIPAER.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77840;A-074/CENIPA/2018 - 06;2018-11-07;2018-11-27;2018-12-27;Atuar junto a Asas de Socorro, a fim de enfatizar aquela organizaaao a importancia de se observar o previsto no RBAC 175 (Transporte de artigos perigosos em aeronaves civis), e suas respectivas IS, e no DOC 9284-AN/905 da ICAO, sempre que houver a necessidade de se transportar carga em alguma de suas aeronaves.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77840;A-074/CENIPA/2018 - 07;2018-11-07;2018-11-27;2018-12-27;Atuar junto a Fundaaao Nacional do andio (FUNAI), a fim de estimular aquele argao a solicitar a essa Agancia o registro das pistas e areas de pouso e decolagem localizadas dentro de terras indagenas, uma vez que o apoio Aareo ? de suma importancia para o cumprimento das atribuiaaes institucionais de tal Funda??o.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77830;A-071/CENIPA/2018 - 01;2020-05-29;2020-06-23;2020-08-10;ATUAR JUNTO a EMPRESA FTA - FLY TaXI AaREO LTDA., A FIM DE QUE AQUELA ORGANIZAaaO APERFEIaOE SEUS MECANISMOS DE TREINAMENTO DE TRIPULANTES, PLANEJAMENTO DE VOO, GERENCIAMENTO DE RISCO E SUPERVISaO GERENCIAL, VISANDO INCREMENTAR OS NaVEIS DE SEGURANaA OPERACIONAL REQUERIDOS PARA O DESEMPENHO DAS ATIVIDADES PARA AS QUAIS TAL EMPRESA a CERTIFICADA.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77830;A-071/CENIPA/2018 - 02;2020-05-29;2020-06-23;2020-07-09;DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAaaO, A FIM DE ALERTAR PILOTOS E OPERADORES DA AVIAaaO CIVIL BRASILEIRA SOBRE A IMPORTaNCIA DO CORRETO PLANEJAMENTO DE VOO, SOBRETUDO NO QUE DIZ RESPEITO AOS ASPECTOS RELACIONADOS a CORRETA IDENTIFICAaaO DO LOCAL DE OPERAaaO, BEM COMO a PERFORMANCE DA AERONAVE REQUERIDA PARA A DECOLAGEM.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77820;A-073/CENIPA/2018 - 01;2022-12-05;2022-12-19;2023-09-11;Avaliar a viabilidade de emissao de Boletim Especial de Aeronavegabilidade, a fim de alertar organizaaaes de manutenaao e operadores de helicapteros modelo BELL-407 sobre a observancia dos corretos procedimentos de manutenaao referidos nesta investigaaao.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77820;A-073/CENIPA/2018 - 02;2022-12-05;2022-12-19;2023-04-02;Atuar junto a Helisul Taxi Aareo Ltda., no intuito de que aquela empresa adote praticas de manutenaao que sigam, estritamente, os procedimentos estabelecidos em ordens tacnicas e manuais de manutenaao dos fabricantes de produtos aeronauticos.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77820;A-073/CENIPA/2018 - 03;2022-12-05;2022-12-19;2023-04-02;Divulgar os ensinamentos colhidos nesta investigaaao a Policia Rodoviaria Federal, a fim de que aquele operador priorize a implementaaao de uma cultura de seguranaa operacional no ambito daquela organizaaao, conforme preconiza o RBAC na 90.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77819;A-069/CENIPA/2018 - 01;2019-12-18;2020-01-13;2020-01-23;DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAaaO, A FIM DE ALERTAR PILOTOS E OPERADORES DA AVIAaaO CIVIL BRASILEIRA SOBRE A IMPORTaNCIA DA CRITERIOSA AVALIAaaO AS CONDIaaES METEOROLaGICAS DA ORIGEM, DO DESTINO, DO AERaDROMO ALTERNATIVO E DA ROTA, POR OCASIaO DO PLANEJAMENTO E DA EXECUaaO DOS VOOS.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77808;A-068/CENIPA/2018 - 01;2018-12-19;2019-02-21;2019-08-14;Atuar junto ao Aeroclube de Eldorado do Sul, a fim de que aquele operador aprimore seus mecanismos de padroniza??o da instru??o aarea, sobretudo no que diz respeito ? utiliza??o de fichas de avalia??o que apresentem todos os campos necess?rios ao adequado registro do voo.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77808;A-068/CENIPA/2018 - 02;2018-12-19;2019-02-21;2019-08-14;Atuar junto ao Aeroclube de Eldorado do Sul, a fim de que aquele operador aprimore seus mecanismos de padroniza??o de instrutores, sobretudo no que diz respeito ao preenchimento das fichas de voo, ocasi?o em que os coment?rios anotados devem ser compat?veis com os n?veis de aprendizagem esperados e com os graus atribu?dos a cada exerc?cio.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77808;A-068/CENIPA/2018 - 03;2018-12-19;2019-02-21;2019-08-14;Atuar junto ao Aeroclube de Eldorado do Sul, a fim de que aquele operador aprimore os treinamentos de Crew Resource Management (CRM) oferecido a seus tripulantes, sobretudo no que diz respeito ? padroniza??o e ?s corretas tacnicas de instru??o, e oriente os instrutores a serem proativos e conservativos, de modo a evitar que os erros dos alunos se aproximem do ponto de irreversibilidade de um acidente.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77808;A-068/CENIPA/2018 - 04;2018-12-19;2019-02-21;2019-08-14;Atuar junto ao Aeroclube de Eldorado do Sul, a fim de que aquele operador aperfei?oe seus mecanismos administrativos e operacionais de recebimento e verifica??o dos serviaos de manutenaao executados em suas aeronaves, como forma de prevenir ocorrancias aeronauticas.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77807;A-067/CENIPA/2018 - 01;2018-07-27;2018-07-30;2018-10-29;Realizar gestaoes junto ? INFRAERO, empresa operadora do Aeroporto Internacional de Campo Grande-MS, a fim de que esta revise seu Plano de Gerenciamento de Risco de Fauna (PGRF), utilizando informaaaes oriundas de Identifica??o de Perigo de Fauna (IPF) e indicando aaaes preventivas para mitigar o risco da presen?a de animais terrestres na ?rea operacional do aeradromo.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77807;A-067/CENIPA/2018 - 02;2018-07-27;2018-07-30;2018-10-29;Realizar gestaoes junto ? INFRAERO, empresa operadora do Aeroporto Internacional de Campo Grande-MS, a fim de que esta inclua em seu Plano de Gerenciamento de Risco de Fauna (PGRF) as aaaes espec?ficas, atribu?das ? cada integrante da ComisSao de Gerenciamento de Risco de Fauna interna e externa.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77807;A-067/CENIPA/2018 - 03;2018-07-27;2018-07-30;2018-10-29;Realizar gestaoes junto ? INFRAERO, empresa operadora do Aeroporto Internacional de Campo Grande-MS, a fim de que esta efetue reparos e melhorias na cerca operacional existente, em coordena??o com as demais organizaaaes envolvidas na execuaao das atividades operacionais do aeradromo, levando-se em considera??o as informaaaes obtidas com a Identifica??o do Perigo da Fauna (IPF).;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77807;A-067/CENIPA/2018 - 04;2018-09-04;2018-11-07;2019-02-15;Atuar junto aos operadores de aeradromo da aviaaao civil brasileira, a fim de que as organizaaaes que ainda nao tenham realizado a Identifica??o de Perigo de Fauna (IPF) implementem o referido procedimento e, posteriormente, atualizem seus Programas de Gerenciamento do Risco da Fauna (PGRF).;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77803;IG-065/CENIPA/2018 - 01;2019-12-18;2020-01-13;2020-04-01;Atuar junto a INFRAMERICA, a fim de que aquele Operador de Aeradromo adote medidas em relaaao a estrutura de iluminaaao dos patios de estacionamento (Paer Norte e Paer Sul), de modo a evitar que a luz proveniente dos respectivos holofotes interfira negativamente na linha de visada dos controladores da TWR-BR.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77803;IG-065/CENIPA/2018 - 02;2019-12-18;2020-01-13;2020-10-01;ATUAR EM CONJUNTO COM A INFRAMERICA E O DECEA, A FIM DE QUE CaMERAS DE USO EXCLUSIVO DO DTCEA-BR SEJAM INSTALADAS NO AERaDROMO INTERNACIONAL DE BRASaLIA, DE MODO A GARANTIR A VISUALIZAaaO E O CONTROLE DE TODOS OS PONTOS CEGOS DAQUELE AERaDROMO.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77803;IG-065/CENIPA/2018 - 03;2019-12-18;2020-01-13;2020-04-01;ATUAR EM CONJUNTO COM A INFRAMERICA E O DECEA, A FIM DE QUE SEJA AVALIADA A pertinencia DE SE MODIFICAR UMA OU AMBAS AS LETRAS DESIGNATIVAS DAS TAXIWAYS aCa (CHARLIE) E aGa (GOLF) DO AERaDROMO INTERNACIONAL DE BRASaLIA, DE MODO A EVITAR CONFUSaES OU EQUaVOCOS POR PARTE DAS TRIPULAaaES QUE OPERAM NAQUELE AERaDROMO.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77803;IG-065/CENIPA/2018 - 04;2019-12-18;2020-01-13;2020-04-01;ATUAR EM CONJUNTO COM A INFRAMERICA E O DECEA, A FIM DE QUE SEJA AVALIADA A pertinencia DA INCLUSaO DE HOT SPOTS NA CARTA DE AERaDROMO DE SBBR, VISANDO ALERTAR OS PILOTOS QUE OPERAM NAQUELE AERaDROMO QUANTO a EXISTaNCIA DE PONTOS CEGOS NA aREA DE MANOBRAS.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
77803;IG-065/CENIPA/2018 - 05;2019-12-18;2020-01-14;2020-10-05;ANALISAR A pertinencia DE SE ESTABELECER, COM CLAREZA E EM NORMA, O MOMENTO OU A POSIaaO EM QUE, APaS O POUSO, A TRIPULAaaO DE UMA AERONAVE DEVE TROCAR A FREQUaNCIA DA TORRE DE CONTROLE PARA O CONTROLE DE SOLO.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
77803;IG-065/CENIPA/2018 - 06;2019-12-18;2020-01-14;2020-10-05;ALERTAR OS CONTROLADORES DE TRaFEGO AaREO BRASILEIROS SOBRE A IMPORTaNCIA DA UTILIZAaaO DA FRASEOLOGIA PADRaO PREVISTA NO MCA 100-16, NOTADAMENTE NO QUE SE REFERE O ITEM 3.4.3.4 (INSTRUaaES APaS O POUSO), ONDE a APRESENTADO UM EXEMPLO DE MENSAGEM CORRETA.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
77803;IG-065/CENIPA/2018 - 07;2019-12-18;2020-01-14;2020-10-05;ALERTAR OS CONTROLADORES DE TRaFEGO AaREO BRASILEIROS SOBRE A IMPORTaNCIA DA UTILIZAaaO DO RECURSO DE FRASEOLOGIA PREVISTO NO ITEM 6.14.6.4 DA ICA 100-37/2017, O QUAL ORIENTA QUE, QUANDO NECESSaRIO OU DESEJaVEL, O CONTROLADOR PODERa INSTRUIR UMA TRIPULAaaO A REPORTAR O MOMENTO EM QUE SUA RESPECTIVA AERONAVE TIVER DESOCUPADO A PISTA EM USO.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
