codigo_ocorrencia3;fator_nome;fator_aspecto;fator_condicionante;fator_area
79720;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79720;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79720;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79720;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79717;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79717;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79717;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79713;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79713;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79713;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79713;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79713;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79713;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79713;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79712;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79701;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79701;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79701;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79701;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79692;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79692;COMUNICACAO;ASPECTO PSICOLOGICO;PSICOSSOCIAL;FATOR HUMANO
79692;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79692;ESTADO EMOCIONAL;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79692;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79671;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79651;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79645;OUTRO FATOR;OUTRO;***;OUTRO
79640;INFRAESTRUTURA AEROPORTUARIA;INFRAESTRUTURA AEROPORTUARIA;***;FATOR OPERACIONAL
79640;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79636;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79627;OUTRO FATOR;OUTRO;***;OUTRO
79620;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79620;CONDICOES METEOROLOGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79620;INFRAESTRUTURA AEROPORTUARIA;INFRAESTRUTURA AEROPORTUARIA;***;FATOR OPERACIONAL
79620;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79620;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79620;PRESENCA DE FAUNA (NAO AVE);ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79619;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79619;PRESENCA DE FAUNA (NAO AVE);ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79608;OUTRO FATOR;OUTRO;***;OUTRO
79607;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79605;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79605;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79605;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79600;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79595;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79595;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79595;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79595;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79595;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79595;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79595;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79595;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79595;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79595;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79589;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79589;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79589;CONHECIMENTO DE NORMAS (ATS);DESEMPENHO DO SER HUMANO;PRESTACAO DE SERVICOS DE TRAFEGO AEREO;FATOR OPERACIONAL
79589;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79589;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79589;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79589;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79580;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79580;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79580;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79574;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79574;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79574;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79574;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79574;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79574;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79572;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79572;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79572;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79572;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79572;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79572;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79568;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79567;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79567;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79567;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79567;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79567;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79567;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79567;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79567;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79567;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79565;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79565;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79564;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79564;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79564;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79564;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79564;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79564;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79564;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79563;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79563;CULTURA DO GRUPO DE TRABALHO;ASPECTO PSICOLOGICO;PSICOSSOCIAL;FATOR HUMANO
79563;CULTURA ORGANIZACIONAL;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79563;DINAMICA DE EQUIPE;ASPECTO PSICOLOGICO;PSICOSSOCIAL;FATOR HUMANO
79563;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79563;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79563;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79559;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79559;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79559;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79559;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79559;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79555;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79555;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79547;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79547;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79547;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79543;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79543;OUTRO FATOR;OUTRO;***;OUTRO
79543;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79541;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79541;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79541;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79541;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79536;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79536;INFRAESTRUTURA AEROPORTUARIA;INFRAESTRUTURA AEROPORTUARIA;***;FATOR OPERACIONAL
79536;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79536;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79536;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79536;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79520;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79520;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79520;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79520;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79510;OUTRO FATOR;OUTRO;***;OUTRO
79505;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79505;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79505;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79505;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79504;OUTRO FATOR;OUTRO;***;OUTRO
79502;OUTRO FATOR;OUTRO;***;OUTRO
79497;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79497;CONDICOES METEOROLOGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79497;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79495;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79495;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79495;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79495;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79494;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79494;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79494;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79494;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79493;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79493;CONDICOES FISICAS DO TRABALHO;ERGONOMIA;***;FATOR HUMANO
79493;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79493;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79493;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79493;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79486;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79486;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79486;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79486;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79486;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79484;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79484;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79484;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79467;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79467;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79458;FABRICACAO;ASPECTO DE FABRICACAO;***;FATOR MATERIAL
79458;MANUSEIO DO MATERIAL;ASPECTO DE MANUSEIO DO MATERIAL;***;FATOR MATERIAL
79457;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79457;OUTRO FATOR;OUTRO;***;OUTRO
79456;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79456;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79456;INFRAESTRUTURA AEROPORTUARIA;INFRAESTRUTURA AEROPORTUARIA;***;FATOR OPERACIONAL
79456;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79456;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79456;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79455;OUTRO FATOR;OUTRO;***;OUTRO
79447;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79447;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79447;OUTRO FATOR;OUTRO;***;OUTRO
79446;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79446;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79446;CARACTERISTICAS DA TAREFA;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79446;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79446;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79446;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79437;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79437;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79437;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79437;MOTIVACAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79437;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79436;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79436;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79436;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79429;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79429;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79429;OUTRO FATOR;OUTRO;***;OUTRO
79429;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79423;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79423;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79423;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79423;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79414;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79414;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79414;ESQUECIMENTO DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79414;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79414;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79414;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79414;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79414;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79407;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79407;FADIGA;ASPECTO MEDICO;***;FATOR HUMANO
79407;SOBRECARGA DE TAREFAS;ASPECTO MEDICO;***;FATOR HUMANO
79404;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79397;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79397;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79397;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79397;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79365;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79365;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79363;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79363;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79363;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79363;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79363;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79362;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79362;CONDICOES METEOROLOGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79362;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79362;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79359;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79359;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79347;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
79347;CONDICOES METEOROLOGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79347;DESORIENTACAO;ASPECTO MEDICO;***;FATOR HUMANO
79347;ESTADO EMOCIONAL;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
79346;MANUSEIO DO MATERIAL;ASPECTO DE MANUSEIO DO MATERIAL;***;FATOR MATERIAL
79346;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79345;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79345;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79345;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
79340;ANSIEDADE;ASPECTO MEDICO;***;FATOR HUMANO
79340;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
79340;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
